name,slug,price,reviewCount,ratingPercent,launchDate,latestUpdate,niches,url
"Rad","rad","$260","3","100","January 05, 2026","","maximum creative control, letting your brand's personality shine.; beauty","https://themes.shopify.com/themes/rad/presets/rad"
"Edge","edge","$320","17","100","March 03, 2026","","jewelry and accessories","https://themes.shopify.com/themes/edge/presets/edge"
"Allure","allure","$100","22","100","March 19, 2026","","clothing","https://themes.shopify.com/themes/allure/presets/allure"
"Grove","grove","$320","2","100","January 22, 2026","","jewelry and accessories","https://themes.shopify.com/themes/grove/presets/grove"
"Adorn","adorn","$270","27","96","February 10, 2026","","beauty","https://themes.shopify.com/themes/adorn/presets/adorn"
"Lyra","lyra","$260","12","100","March 17, 2026","","jewelry brands.; jewelry and accessories","https://themes.shopify.com/themes/lyra/presets/lyra"
"Pastarina","pastarina","$320","1","100","December 02, 2025","","food and drink","https://themes.shopify.com/themes/pastarina/presets/pastarina"
"Megastore","megastore","$380","3","67","March 10, 2026","","clothing","https://themes.shopify.com/themes/megastore/presets/megastore"
"Genie","genie","$180","0","","December 02, 2025","","kids","https://themes.shopify.com/themes/genie/presets/genie"
"Maya","maya","$500","7","71","January 26, 2026","","clothing","https://themes.shopify.com/themes/maya/presets/maya"
"Fabric","fabric","Free","59","32","March 30, 2026","","clothing","https://themes.shopify.com/themes/fabric/presets/fabric"
"Savor","savor","Free","57","23","March 30, 2026","","food and drink","https://themes.shopify.com/themes/savor/presets/savor"
"Vessel","vessel","Free","29","24","March 30, 2026","","home","https://themes.shopify.com/themes/vessel/presets/vessel"
"Dwell","dwell","Free","34","26","March 30, 2026","","home","https://themes.shopify.com/themes/dwell/presets/dwell"
"Tinker","tinker","Free","69","36","March 30, 2026","","office","https://themes.shopify.com/themes/tinker/presets/tinker"
"Pitch","pitch","Free","28","32","March 30, 2026","","beauty","https://themes.shopify.com/themes/pitch/presets/pitch"
"Atelier","atelier","Free","66","30","March 30, 2026","","bags","https://themes.shopify.com/themes/atelier/presets/atelier"
"Heritage","heritage","Free","10","50","March 30, 2026","","brands with a strong editorial aesthetic. Immersive galleries with asymmetrical, organic layouts let your brand voice shine.; clothing","https://themes.shopify.com/themes/heritage/presets/heritage"
"Ritual","ritual","Free","21","33","March 30, 2026","","clothing","https://themes.shopify.com/themes/ritual/presets/ritual"
"Nova","nova","$350","2","100","December 12, 2025","","sports","https://themes.shopify.com/themes/nova/presets/nova"
"Carbon","carbon","$280","8","88","February 04, 2026","","clothing","https://themes.shopify.com/themes/carbon/presets/carbon"
"Sampo","sampo","$390","3","100","December 02, 2025","","jewelry and accessories","https://themes.shopify.com/themes/sampo/presets/sampo"
"Loka","loka","$140","1","100","March 30, 2026","","food and drink","https://themes.shopify.com/themes/loka/presets/loka"
"Strong","strong","$320","7","100","February 16, 2026","","shoes","https://themes.shopify.com/themes/strong/presets/strong"
"Monochrome","monochrome","$320","17","94","March 04, 2026","","immersive visual storytelling.; art","https://themes.shopify.com/themes/monochrome/presets/monochrome"
"Elixira","elixira","$140","2","100","March 09, 2026","","Mobile, Electronics; electronics","https://themes.shopify.com/themes/elixira/presets/elixira"
"Horizon","horizon","Free","154","37","March 30, 2026","","clothing","https://themes.shopify.com/themes/horizon/presets/horizon"
